Pizzeria,Style,Rating,Notes,Date Time,State,Location,Image
Pizzeria Anima e Core,Neapolitan,5,Glorious crust,3/8/2022 8:00:00,Italy,"37.0623435999999, 15.2925554",Pizza_Images/Pizzeria Anima e Core.Image.055219.jpg
Oleum Ortigia,Neapolitan,4,,,Italy,"37.0618353, 15.2924151",
Antica Giudecca,,3,,,Italy,"37.060488, 15.2962455",
That's a Moro,,3,,,Italy,"36.9269270999999, 14.7443409",
Heliotrope Brewing,Neapolitan,4,Sauce has a bit of a kick that I could do without. And dough is a bit too dense. Though with a nice chew. But overall tasty. Scissors are unnecessary.,,VA,"37.7834994, -79.4434651999999",Pizza_Images/Heliotrope Brewing.Image.025602.jpg
Enfield House of Pizza,Greek,2,,,NH,"43.6424382999999, -72.1201734999999",
Village Pizza Restaurants,Greek,3,,,NH,"43.6430772999999, -72.2538048",
Jake's Market & Deli,New York,2,,,NH,"43.6447417999999, -72.1443046999999",
Ziggy's Pizza Enfield,New York,2,,,NH,"43.6432047, -72.1246314",
Era Ora Ortigia,Neapolitan,4,,,Italy,"37.0635354999999, 15.2906633",
Via Roma,,3,,10/1/2022 16:10:00,MD,"38.8279461, -76.9087503",Pizza_Images/Via Roma.Image.024106.jpg
Beau Jo's,,2,Home of the Colorado Mountain Pie!,2/23/2020 13:54:00,CO,"39.741750, -105.516540",Pizza_Images/Beau Jo-s.Image.030241.jpg
Pupatella - North Arlington,Neapolitan,5,excellent and consistent.,8/3/2019 7:49:00,VA,"38.8776085999999, -77.1222164",Pizza_Images/Pupatella - North Arlington.Image.043347.jpg
Williamsburg Pizza - Williamsburg,New York,4,"good. Good balance of cheese and sauce. Crust good, but perhaps a bit soft? I mean crunchy bottom, but the rest",,NY,"40.7081041, -73.9507823",
Za,Pan,2,Pan pizza. Satisfying enough for what it is but forgettable.,,MA,"42.3635077999999, -71.0834699",
EBAs,,4,Legendary. RIP in peace.,,NH,"43.70167711829037, -72.29048898873316",Pizza_Images/EBAs.Image.053513.jpg
Andy's - Navy Yard,New York,5,Light and crispy crust. only NY style in DC area remotely competitive with NYC offerings,6/17/2020 20:31:00,DC,"38.8756101, -77.0076236",Pizza_Images/Andy-s - Navy Yard.Image.063459.jpg
Andy's - AdMo,New York,5,Light and crispy crust. only NY style in DC area remotely competitive with NYC offerings,,DC,"38.9221293, -77.0421906",Pizza_Images/Andy-s - AdMo.Image.183628.jpg
Nighthawk Pizza,Bar,4,,8/29/2022 20:58:00,VA,"38.863162831617736, -77.0624831569971",Pizza_Images/Nighthawk Pizza.Image.060012.jpg
2 Amy's,Hybrid,5,Excellent,,DC,"38.9337046, -77.073078",Pizza_Images/2 Amy-s.Image.170151.jpg
Emmy Squared - Navy Yard,Detroit,5,,,DC,"38.8747299, -77.0003873",
Wiseguys - Navy Yard,New York,4,overpriced but good. meat pizza is better than cheese. 4 is on the generous side,,DC,"38.8770394, -77.0031085",
Andy's - NoMa,New York,5,Light and crispy crust. only NY style in DC area remotely competitive with NYC offerings,,DC,"38.9054761, -77.0070964",
Area Four - Kendall Square,Neapolitan,4,,,MA,"42.3630864999999, -71.0924407999999",
Area Four - South End,Neapolitan,4,,,MA,"42.3432809, -71.0629778999999",
The Upper Crust - Porter Square,New York,3,"""the upper crust""...more like a cracker than a crust. Literally no oven spring. Or flavor or texture. Sauce and cheese are reasonably tasty.",,MA,"42.3858577, -71.1195650999999",
My Pie Pizzeria Romana - UWS,Al Taglio,5,excellent. Only real complaint is too much basil. But truly excellent.,,NY,"40.778269, -73.981175",
Williamsburg Pizza - UES,New York,4,"Solid slice. Good balance of cheese and sauce. Crust good, but perhaps a bit soft? I mean crunchy bottom, but the rest",,NY,"40.7765202, -73.9530588",
Grazie Grazie,New York,3,Sauce weirdly spicy. Overall decent but looks better than it tastes. Crust is a bit soft. Though tbf it was delivery. Almost wonder if sauce was a mistake,1/30/2023 20:00:04,DC,"38.90286983701695, -77.04314843739614",Pizza_Images/Grazie Grazie.Image.010252.jpg
In Bocca al Lupo,,5,Very good. Cracker crust. Perfectly balanced. Bonus points for being unique.,2/4/2023 22:42:52,DC,"38.92126215663603, -77.07233933105877",
Supremo Pizza,New York,3,Better than expected for Utah,2/19/2023 23:10:44,,"40.617126859635285, -111.86634861751347",
Frank Pepe - Yonkers,New Haven,4,More pecorino than expected. Enjoyable. Still need to try the real deal.,3/12/2023 14:03:00,NY,"40.96524975122102, -73.83886237774847",
Dough Bros,New York,3,"Not enough sauce. And a bit dried out. But tbh better than expected. Nice crunch. Crumb quite bad but the rest of the slice works. Sausage slice a little weird. Should have gone with peps, they looked good. Overpriced.",4/13/2023 23:20:05,IL,"41.8896105665073, -87.62825722107176",Pizza_Images/Dough Bros.Image.042442.jpg
Epicurean,American,2,Got for free. Marginal utility down to zero by halfway thru second slice.,4/13/2023 23:28:26,DC,"38.9112191608691, -77.0738117041235",
Lou Malnati's,Deep Dish,4,"Tried deep dish and thin crust. Both quite enjoyable. Great tomato flavor on the deep dish. High quality mozz. Probably underrated. If I lived here I would eat the thin more often, but the deep is 'better'.",4/14/2023 12:39:12,IL,"41.89034953661031, -87.63388165740649",Pizza_Images/Lou Malnati-s.Image.174457.jpg
Salerno,,3,Not bad. Crust a bit soft and too much cheese. But good flavor.,5/5/2023 13:20:07,VA,"37.78420049590347, -79.4447337519331",Pizza_Images/Salerno.Image.172116.jpg
Cantore's,Greek,3,Solid. Sorta in between Greek and NY. Tomato-y sauce. Pretty thin. Greekness is main thing holding it back. Would like to try again,5/27/2023 11:16:00,NH,"43.63518082938348, -72.315944116261",
Stracci,Other,4,"Good. High 4. Homemade mozz fantastic. Good tomatoes. Very good sausage and peps. Kinda surprisingly the crust was the weakest link- still pretty good, but a tad on the dry side.",6/17/2023 20:49:27,VA,"38.830908, -77.058841",Pizza_Images/Stracci.Image.005733.jpg
Porta Marciana,Other,3,"Just okay. Somewhat generous 3, but hey I'm on vacation.",6/27/2023 18:30:00,Slovenia,"45.52651649200718, 13.569344661494329",Pizza_Images/Porta Marciana.Image.113155.jpg
Pinija,Neapolitan,4,Too much cheese. And a bit on the soggy side towards the end. But enjoyable.,6/28/2023 18:25:00,Slovenia,"45.52936136612298, 13.602602876145962",Pizza_Images/Pinija.Image.192345.jpg
Fetiche,Other,4,"Unique. Claims to be 90% hydration. Thick crust, but very light and airy. Tasty overall, but the balance is slightly  off in some way. Perhaps not enough tomato and mozz to stand up to the dough.",6/30/2023 21:15:15,Slovenia,"46.048990405755966, 14.505837018865291",Pizza_Images/Fetiche.Image.191717.jpg
Pop's Pizza & Sport,Neapolitan,5,Picture says it all,7/1/2023 13:03:59,Slovenia,"46.047555, 14.505402",Pizza_Images/Pop-s Pizza & Sport.Image.110456.jpg
Baffi House of Pizza,Neapolitan,4,Looked better than it tasted. Cheese could have been a bit better. But dough is main limiting factor. Collapses under slightest pressure. Yet somehow still kinda dense,7/2/2023 20:15:00,Slovenia,"46.345096783496736, 14.171528495187838",Pizza_Images/Baffi House of Pizza.Image.193206.jpg
Pizzeria Modrina,Other,4,Looked better than it tasted. But still good. Crust was a bit denser than one would hope. Oregano unnecessary.,7/5/2023 20:26:59,Slovenia,"46.247238, 13.579287",
L'Oste di Lucca,Other,3,Okay. Crispy. But sauce and cheese and everything else meh.,7/7/2023 19:18:00,Italy,"43.84515223686727, 10.50502845169269",Pizza_Images/L-Oste di Lucca.Image.230250.jpg
Pizzeria da Felice,,4,,7/8/2023 12:34:00,Italy,"43.84383848805604, 10.503392003152912",Pizza_Images/Pizzeria da Felice.Image.191526.jpg
La Vera Pizzeria,New York,3,"Looked anemic. Not bad overall, thin chewy crust. But sauce was way over seasoned and sweet. And it just looked sad.",7/23/2023 16:33:46,VA,"36.853515573142396, -75.9773905289455",Pizza_Images/La Vera Pizzeria.Image.203543.jpg
Bare Knuckle Pizza,Neapolitan,3,"Well, it was slightly burnt on the bottom. Not sure if that was the source of issues, but crumb was a bit dense. Sauce and cheese pretty quality. It's possible 3 is a bit harsh",8/12/2023 19:55:00,CA,"37.8019243482805, -122.26988112560092",Pizza_Images/Bare Knuckle Pizza.Image.165746.jpg
Square Pie Guys,Detroit,4,Price is offensive. But tasty. Very thick crust. Maybe slightly over cheesed.,8/14/2023 19:14:23,CA,"37.80117954742149, -122.27445451372841",Pizza_Images/Square Pie Guys.Image.021933.jpg
Jupiter,Other,3,"Toppings good, but crust forgettable. Dry and underleavened.",8/15/2023 22:42:00,CA,"37.869795242505326, -122.26758200338165",Pizza_Images/Jupiter.Image.064423.jpg
Cheese Board Collective,Other,3,"I mean... lol. The flavors were good, but the crust is just incredibly middling. Like, remarkably so. How can you care so much about ingredient quality, etc. and not put any effort into the most important part of the pizza?",8/16/2023 19:21:14,CA,"37.87987158543845, -122.26947967673392",Pizza_Images/Cheese Board Collective.Image.022527.jpg
Joe's - Ann Arbor,New York,5,Remarkably similar to the original. Only a few months after opening so bellucci likely still running things.,1/2/2020 7:12:00,MI,"42.27525121637924, -83.73555928477911",
Pizza House,American,3,Open late.,1/3/2020 2:30:00,MI,"42.27432518733064, -83.73481930737465",
Del Popolo,Neapolitan,4,Quite nice. Delicate crust w sourdough flavor. But there's an acidity to the sauce that's holding it back. I'm also getting oregano some bites? (Not in a good way),8/18/2023 22:06:08,CA,"37.78973622139685, -122.41138087330295",Pizza_Images/Del Popolo.Image.051012.jpg
Commonwealth Brewing,NY-Neapolitan,4,"High 4. Very good pepperoni. Ezzos cup and char. Slight hint of abnormal flour in the crust, but overall really good. Almost too much pep?",9/4/2023 14:11:38,VA,"36.913381, -76.131958",Pizza_Images/Commonwealth Brewing.Image.181701.jpg
Gino's Pizzeria by Maurizio,New York,3,Too much cheese. Crust on the spongey side.,9/2/2023 19:13:00,VA,"36.78986198471297, -75.99765139193302",Pizza_Images/Gino-s Pizzeria by Maurizio.Image.181706.jpg
The Italian Store,New York,3,"Much better than it should be. Too much cheese, dough-y, but it just kinda works",11/10/2023 19:25:50,VA,"38.896477, -77.096318",Pizza_Images/The Italian Store.Image.002756.jpg
Village Square Pizza,Square,4,Good peps. Good sauce and cheese. But slight doughiness holding it back. A poor man's prince st.,11/16/2023 19:31:53,NY,"40.776529, -73.957668",Pizza_Images/Village Square Pizza.Image.004125.jpg
Tree House Brewing - Tewksbury,New York,4,Very tasty. Light and airy crust. Grated Parm mostly works but wouldn't be my choice. Light garlic in the sauce,11/20/2023 15:41:45,MA,"42.591831, -71.205141",Pizza_Images/Tree House Brewing - Tewksbury.Image.221626.jpg
Inferno,Neapolitan,5,Very nice crust. Need to try pupatella again to compare...perhaps lacking a bit in the umami dept?,12/16/2023 18:28:00,MD,"39.118543707429126, -77.25327778617904",Pizza_Images/Inferno.Image.162922.jpg
Sizzle-pi,Pan,5,Satisfyingly crispy crust. I like the onions under the cheese. Cool spot.,12/30/2023 14:05:17,PA,"41.26066844288476, -75.88593716347256",Pizza_Images/Sizzle-pi.Image.190727.jpg
Pizza L'Oven,Pan,4,Very crispy bottom. Moreso than sizzle-pi. But a bit doughy on top. A bit of a pizza hut pan pizza flavor. Overall quite enjoyable,12/30/2023 14:17:00,PA,"41.319890, -75.819629",Pizza_Images/Pizza L-Oven.Image.191818.jpg
J&J,New York,3,"Looks good, eats pretty good overall, but wayyy overdid it with the garlic.",2/10/2024 16:03:01,DC,"38.907448, -76.998212",Pizza_Images/J&J.Image.210410.jpg
Parachute Pizza,Square,3,"Crust is decent. Kind of reminiscent of a greek pie, or even pizza hut pan. Very dark cooked sauce. Cheese sauce cheese layering. Final layer of cheese unnecessary and creates an unappealing look.",2/10/2024 16:22:33,DC,"38.908630, -76.997351",Pizza_Images/Parachute Pizza.Image.212838.jpg
Jet's Pizza,Detroit,5,"Quite good. Pleasant chew to the crust. Sauce under the cheese, which was unexpected. Sauce perhaps cooked and with herbs, but it works. High quality mozz.",2/17/2024 15:27:00,VA,"38.83561673655562, -77.05732402019717",Pizza_Images/Jet-s Pizza.Image.043134.jpg
Si Cara,Neapolitan,5,"Fantastic crust. Cheese leaves some room for improvement. Not purely fresh mozz, something sharp in the blend. Maybe provolone? Not what you usually want for a margherita. The pepperoni and pearl onion pie was excellent though",2/22/2024 19:31:00,MA,"42.36385939805902, -71.10042784307915",Pizza_Images/Si Cara.Image.013427.jpg
Farini,Other,3,,7/9/2023 12:13:00,Italy,"45.43976763607609, 12.336690626055509",Pizza_Images/Farini.Image.190254.jpg
Birraria La Corte,Neapolitan,5,,7/8/2023 20:59:00,Italy,"45.43804569999993, 12.329855699999209",Pizza_Images/Birtaria La Corte.Image.190904.jpg
Angelo's Pizzeria,New York,4,"So, messed up the timing a little and it was starting to cool down by the time I picked it up. Still quite tasty, but the crust suffered a bit. Good sauce and cheese, and plenty of it. And fantastic cheese steak...",3/8/2024 15:59:01,PA,"39.94064847785885, -75.1576163355973",Pizza_Images/Angelo-s Pizzeria.Image.210128.jpg
Benny Marzano's,Jumbo Slice,3,Nice crispy crust. Bit too much cheese. And that pizza house flavor,3/23/2024 12:55:38,VA,"37.229428163553585, -80.41522933539363",Pizza_Images/Benny Marzano-s.Image.170058.jpg
Season's Yield,NY-Neapolitan,4,"Excellent crust, but the sauce holds the whole pie back. Unpleasantly sweet and seasoned. Must be cooked. Garlic, maybe even onion?",3/23/2024 18:45:00,VA,"37.92978089210628, -79.24791179334015",Pizza_Images/Season-s Yield.Image.184703.jpg
Alfreda,NY-Neapolitan,4,"I appreciate that they're trying to do their own thing. Neapolitan is a pretty saturated market in DC these days. Definitely enjoyable, but a bit heavy on the sourdough flavor for my taste. And the price is just too much.",4/19/2024 20:14:00,DC,"38.90955035350723, -77.045651487905",Pizza_Images/Alfreda.Image.031815.jpg
90 Second Pizza - Chinatown,Neapolitan,4,,4/26/2024 12:44:00,DC,"38.898849679942415, -77.02219232060469",Pizza_Images/90 Second Pizza - Chinatown.Image.032113.jpg
Armand's,Deep Dish,4,"Enjoyable. Nice crust, flavorful mozz. Tasted better than it looks. Nostalgic.",6/22/2024 12:47:00,MD,"39.060936586507566, -77.12528224674205",Pizza_Images/Armand-s.Image.234914.jpg
Modern Recipe @ the Fed,Other,3,"Better than it looked. Nice chew to the crust. Cheese the weak link. Pretty fresh tomato flavor in the sauce, perhaps a hint of garlic?",6/26/2024 12:03:46,DC,"38.893745, -77.045307",Pizza_Images/Modern Recipe @ the Fed.Image.160446.jpg
Riverside Brewing,New York,3,"Low quality cheese, applied generously. Crust pretty good, though think I could do without the added sweetness from the maple syrup. Poor application of meats.",7/6/2024 19:28:20,PA,"41.80576555799238, -80.05311730329149",Pizza_Images/Riverside Brewing.Image.233018.jpg
Padrone's Pizza,American,2,Soft spongey crust,7/5/2024 17:25:00,PA,"41.40467180990012, -80.39089503132962",Pizza_Images/Padrone-s Pizza.Image.233138.jpg
Timber Creek Tap & Table,New York,4,Solid buff chick pizza. The bacon was a nice touch. Pleasant surprise.,7/4/2024 18:31:00,PA,"41.62048374985572, -80.20314416593348",Pizza_Images/Timber Creek Tap & Table.Image.233333.jpg
Catboat Pizza Bar,Square,4,From the Sonny's team. Great location. Crust wasn't super crispy and got soggier over time. Wonder how much they're doing on site.,10/12/2024 14:29:00,VA,"38.83325765233162, -77.04168529749214",Pizza_Images/Catboat Pizza Bar.Image.203042.jpg
RC Pizza,New York,3,Really not bad. Thin crust with some crunch to it. Tomato-y tomato. Maybe a 4?,11/27/2024 13:54:36,VA,"37.804499, -79.410264",Pizza_Images/RC Pizza.Image.185652.jpg
Caputo's Pizzeria,New York,4,"Was sitting out a bit, but still quite solid. Good sausage. Unnecessary garlic on the margherita, but still enjoyable",12/30/2024 18:53:00,NY,"43.099506, -73.741840",Pizza_Images/Caputo-s Pizzeria.Image.185636.jpg
Tree House Brewing Company - Deerfield,New York,5,Quite tasty. Thin and crispy crust.,1/1/2025 13:58:13,MA,"42.489403, -72.609816",Pizza_Images/Tree House Brewing Company - Deerfield.Image.190029.jpg
Good Old Days,New York,4,"Adding this late, but I recall the NY and square pies both being tasty",,CT,"41.411547, -73.307795",
Angolino's,New York,3,Pleasant surprise. Nice crunch. Cheese and sauce leave a little to be desired. Under sauced. And a bit of pizza house flavor. But enjoyable.,1/12/2025 13:41:13,VA,"38.887181, -77.095604",Pizza_Images/Angolino-s.Image.184543.jpg
Deli Italiano,Square,3,Tastes better than it should. Unappealing look and kinda sponge-y and gummy crumb...but also kinda works,1/22/2025 21:29:58,VA,"38.89927729474616, -77.1573883777178",
Bavaro's,Neapolitan,5,Quite good.,2/12/2025 19:33:00,FL,"27.33714559511561, -82.53028261600373",Pizza_Images/Bavaro-s.Image.033401.jpg
Centre Court @ The Meadows,Flatbread,2,The sausage and onion were good. Great vibes at centre court,2/12/2025 14:34:00,FL,"27.362183519583283, -82.47964540526833",Pizza_Images/Centre Court @ The Meadows.Image.033628.jpg
El Jefe,NY-Neapolitan,5,Quite good. Very delicate crust. (food truck @ lost gen brewing),2/17/2025 15:29:00,DC,"38.91364689129301, -77.00093883349622",Pizza_Images/El Jefe.Image.231416.jpg
Ravenna,Al Taglio,3,"I give this place 3 months... margherita was quite disappointing. Dried out sauce. One small piece of mozz per half slice...More heavily topped slices were better, but still held back by the average crust. And then the prices...downright offensive.",3/2/2025 19:34:00,VA,"38.89464547161259, -77.07447363310557",Pizza_Images/Ravenna.Image.042338.jpg
Sir Pizza,,3,,12/30/2019 8:45:00,FL,"25.687925725832976, -80.16465016071825",
